 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:27:32
 Units: L = cm   , T = days , M = mg   

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
       0.2758  0.21821E-01  0.26685E-02  0.21815E-01  0.26669E-02  0.13794E+00  0.48441E-02  0.45892E-03  0.48444E-02  0.45865E-03  0.57988E-01 -0.95141E+02 -0.51328E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10986E+03  0.29041E-02  0.77484E-02      9  0.00000E+00      0.000
       0.3258  0.98708E-01  0.75744E-02  0.98711E-01  0.75701E-02  0.12600E+00  0.97795E-02  0.83764E-03  0.97799E-02  0.83716E-03  0.64288E-01 -0.95307E+02 -0.51285E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10986E+03  0.43627E-02  0.14143E-01     10  0.00000E+00      0.000
       0.3758  0.16398E+00  0.11739E-01  0.16398E+00  0.11732E-01  0.12468E+00  0.17978E-01  0.14246E-02  0.17979E-01  0.14238E-02  0.70522E-01 -0.95575E+02 -0.51323E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10985E+03  0.60735E-02  0.24052E-01     11  0.00000E+00      0.000
       0.4258  0.21123E+00  0.14754E-01  0.21124E+00  0.14746E-01  0.13175E+00  0.28540E-01  0.21623E-02  0.28541E-01  0.21611E-02  0.77109E-01 -0.95883E+02 -0.51423E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10985E+03  0.79668E-02  0.36508E-01     12  0.00000E+00      0.000
       0.4758  0.23586E+00  0.16325E-01  0.23586E+00  0.16316E-01  0.14457E+00  0.40333E-01  0.29786E-02  0.40334E-01  0.29768E-02  0.84338E-01 -0.96150E+02 -0.51546E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10984E+03  0.99553E-02  0.50289E-01     13  0.00000E+00      0.000
       0.5258  0.23544E+00  0.16298E-01  0.23544E+00  0.16289E-01  0.15872E+00  0.52105E-01  0.37935E-02  0.52106E-01  0.37913E-02  0.92274E-01 -0.96321E+02 -0.51660E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10984E+03  0.11942E-01  0.64048E-01     14  0.00000E+00      0.000
       0.5758  0.21001E+00  0.14676E-01  0.21000E+00  0.14668E-01  0.17021E+00  0.62605E-01  0.45273E-02  0.62606E-01  0.45247E-02  0.10078E+00 -0.96353E+02 -0.51734E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10984E+03  0.13831E-01  0.76437E-01     15  0.00000E+00      0.000
       0.6258  0.16207E+00  0.11617E-01  0.16207E+00  0.11610E-01  0.17552E+00  0.70709E-01  0.51082E-02  0.70710E-01  0.51052E-02  0.10956E+00 -0.96223E+02 -0.51745E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10984E+03  0.15534E-01  0.86244E-01     16  0.00000E+00      0.000
       0.6758  0.96308E-01  0.74212E-02  0.96304E-01  0.74169E-02  0.17287E+00  0.75524E-01  0.54792E-02  0.75525E-01  0.54760E-02  0.11820E+00 -0.95925E+02 -0.51678E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10984E+03  0.16984E-01  0.92508E-01     17  0.00000E+00      0.000
       0.7258  0.19160E-01  0.24987E-02  0.19167E-01  0.24972E-02  0.16005E+00  0.76482E-01  0.56041E-02  0.76483E-01  0.56009E-02  0.12621E+00 -0.95476E+02 -0.51527E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10985E+03  0.18135E-01  0.94618E-01     18  0.00000E+00      0.000
       0.7758  0.75664E-02  0.14413E-02  0.75684E-02  0.14405E-02  0.14281E+00  0.76860E-01  0.56762E-02  0.76862E-01  0.56729E-02  0.13335E+00 -0.95197E+02 -0.51373E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10985E+03  0.18973E-01  0.95835E-01     19  0.00000E+00      0.000
       0.8258  0.13507E-01  0.14413E-02  0.13507E-01  0.14405E-02  0.12468E+00  0.77536E-01  0.57483E-02  0.77537E-01  0.57450E-02  0.13958E+00 -0.95010E+02 -0.51235E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10986E+03  0.19515E-01  0.97052E-01     20  0.00000E+00      0.000
       0.8758  0.18550E-01  0.14413E-02  0.18551E-01  0.14405E-02  0.10832E+00  0.78463E-01  0.58203E-02  0.78464E-01  0.58170E-02  0.14500E+00 -0.94875E+02 -0.51120E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10986E+03  0.19804E-01  0.98268E-01     21  0.00000E+00      0.000
       0.9258  0.22202E-01  0.14413E-02  0.22201E-01  0.14405E-02  0.95058E-01  0.79573E-01  0.58924E-02  0.79574E-01  0.58890E-02  0.14975E+00 -0.94769E+02 -0.51026E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10987E+03  0.19911E-01  0.99485E-01     22  0.00000E+00      0.000
       0.9629  0.23794E-01  0.14413E-02  0.23794E-01  0.14405E-02  0.86214E-01  0.80456E-01  0.59459E-02  0.80457E-01  0.59424E-02  0.15295E+00 -0.94701E+02 -0.50966E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10987E+03  0.19931E-01  0.10039E+00     23  0.00000E+00      0.000
       1.0000  0.24335E-01  0.14413E-02  0.24337E-01  0.14405E-02  0.78696E-01  0.81358E-01  0.59993E-02  0.81359E-01  0.59959E-02  0.15587E+00 -0.94640E+02 -0.50915E+02  0.20616E+03  0.00000E+00  0.00000E+00  0.10987E+03  0.19931E-01  0.10129E+00     24  0.00000E+00      0.000
end
