 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  27. 3.2022    Time:  16:26:34
 Units: L = cm   , T = days , M = mg   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

  11   -30.0000    -211.765 0.2820   0.1096E+01  0.3656E-03  0.8788E-01  0.2154E-02      -1   0.202E-02   20.00  0.8993E-03  0.1079E+00
  12   -33.0000    -208.519 0.2832   0.1134E+01  0.3696E-03  0.9454E-01  0.2029E-02      -1   0.218E-02   20.00  0.8900E-03  0.1068E+00
  13   -36.0000    -205.265 0.2844   0.1172E+01  0.3736E-03  0.9997E-01  0.1904E-02      -1   0.230E-02   20.00  0.8858E-03  0.1063E+00
  14   -39.0000    -202.007 0.2856   0.1210E+01  0.3776E-03  0.1041E+00  0.1778E-02      -1   0.239E-02   20.00  0.8842E-03  0.1061E+00
  15   -42.0000    -198.749 0.2868   0.1248E+01  0.3816E-03  0.1068E+00  0.1652E-02      -1   0.246E-02   20.00  0.8834E-03  0.1060E+00
  16   -45.0000    -195.494 0.2880   0.1287E+01  0.3857E-03  0.1082E+00  0.1526E-02      -1   0.249E-02   20.00  0.8833E-03  0.1060E+00
  17   -48.0000    -192.245 0.2891   0.1325E+01  0.3897E-03  0.1081E+00  0.1400E-02      -1   0.249E-02   20.00  0.8833E-03  0.1060E+00
  18   -51.0000    -189.006 0.2904   0.1382E+01  0.3938E-03  0.1062E+00  0.1274E-02      -1   0.244E-02   20.00  0.8833E-03  0.1060E+00
  19   -54.0000    -185.785 0.2918   0.1456E+01  0.3981E-03  0.1024E+00  0.1147E-02      -1   0.236E-02   20.00  0.8833E-03  0.1060E+00
  20   -57.0000    -182.583 0.2932   0.1529E+01  0.4024E-03  0.9718E-01  0.1020E-02      -1   0.224E-02   20.00  0.8833E-03  0.1060E+00
  21   -60.0000    -179.403 0.2945   0.1601E+01  0.4066E-03  0.9074E-01  0.8933E-03      -1   0.209E-02   20.00  0.8833E-03  0.1060E+00
  22   -63.0000    -176.243 0.2958   0.1673E+01  0.4108E-03  0.8311E-01  0.7661E-03      -1   0.191E-02   20.00  0.8833E-03  0.1060E+00
  23   -66.0000    -173.104 0.2972   0.1744E+01  0.4150E-03  0.7435E-01  0.6388E-03      -1   0.171E-02   20.00  0.8833E-03  0.1060E+00
  24   -69.0000    -169.987 0.2985   0.1815E+01  0.4191E-03  0.6456E-01  0.5113E-03      -1   0.149E-02   20.00  0.8833E-03  0.1060E+00
  25   -72.0000    -166.890 0.2998   0.1885E+01  0.4232E-03  0.5380E-01  0.3837E-03      -1   0.124E-02   20.00  0.8833E-03  0.1060E+00
  26   -75.0000    -163.815 0.3011   0.1954E+01  0.4272E-03  0.4217E-01  0.2559E-03      -1   0.970E-03   20.00  0.8833E-03  0.1060E+00
  27   -78.0000    -160.760 0.3024   0.2023E+01  0.4313E-03  0.2975E-01  0.1280E-03      -1   0.685E-03   20.00  0.8833E-03  0.1060E+00
  28   -81.0000    -157.726 0.3036   0.2092E+01  0.4353E-03  0.1665E-01  0.0000E+00      -1   0.383E-03   20.00  0.8833E-03  0.1060E+00
  29   -84.0000    -154.712 0.3049   0.2160E+01  0.4392E-03  0.3177E-02  0.0000E+00      -1   0.731E-04   20.00  0.8833E-03  0.1060E+00
  30   -87.0000    -151.717 0.3062   0.2227E+01  0.4432E-03 -0.1111E-01  0.0000E+00      -1  -0.256E-03   20.00  0.8833E-03  0.1060E+00
  31   -90.0000    -148.742 0.3076   0.2346E+01  0.4467E-03 -0.2612E-01  0.0000E+00      -1  -0.601E-03   20.00  0.8833E-03  0.1060E+00
  32   -93.0000    -145.784 0.3089   0.2464E+01  0.4501E-03 -0.4105E-01  0.0000E+00      -1  -0.945E-03   20.00  0.8833E-03  0.1060E+00
  33   -96.0000    -142.841 0.3103   0.2583E+01  0.4536E-03 -0.5579E-01  0.0000E+00      -1  -0.128E-02   20.00  0.8833E-03  0.1060E+00
  34   -99.0000    -139.913 0.3117   0.2700E+01  0.4570E-03 -0.7029E-01  0.0000E+00      -1  -0.162E-02   20.00  0.8833E-03  0.1060E+00
  35  -102.0000    -136.997 0.3130   0.2817E+01  0.4604E-03 -0.8450E-01  0.0000E+00      -1  -0.194E-02   20.00  0.8833E-03  0.1060E+00
  36  -105.0000    -134.093 0.3144   0.2934E+01  0.4637E-03 -0.9839E-01  0.0000E+00      -1  -0.226E-02   20.00  0.8833E-03  0.1060E+00
  37  -108.0000    -131.198 0.3157   0.3050E+01  0.4671E-03 -0.1119E+00  0.0000E+00      -1  -0.258E-02   20.00  0.8833E-03  0.1060E+00
  38  -111.0000    -128.313 0.3170   0.3165E+01  0.4705E-03 -0.1251E+00  0.0000E+00      -1  -0.288E-02   20.00  0.8833E-03  0.1060E+00
  39  -114.0000    -125.435 0.3184   0.3280E+01  0.4738E-03 -0.1378E+00  0.0000E+00      -1  -0.317E-02   20.00  0.8833E-03  0.1060E+00
  40  -117.0000    -122.565 0.3197   0.3395E+01  0.4772E-03 -0.1502E+00  0.0000E+00      -1  -0.346E-02   20.00  0.8833E-03  0.1060E+00
  41  -120.0000    -119.700 0.3210   0.3526E+01  0.4802E-03 -0.1625E+00  0.0000E+00      -1  -0.374E-02   20.00  0.8833E-03  0.1060E+00
  42  -123.0000    -116.840 0.3225   0.3715E+01  0.4822E-03 -0.1747E+00  0.0000E+00      -1  -0.402E-02   20.00  0.8833E-03  0.1060E+00
  43  -126.0000    -113.982 0.3239   0.3904E+01  0.4843E-03 -0.1864E+00  0.0000E+00      -1  -0.429E-02   20.00  0.8833E-03  0.1060E+00
  44  -129.0000    -111.126 0.3253   0.4093E+01  0.4863E-03 -0.1978E+00  0.0000E+00      -1  -0.455E-02   20.00  0.8833E-03  0.1060E+00
  45  -132.0000    -108.272 0.3267   0.4282E+01  0.4883E-03 -0.2086E+00  0.0000E+00      -1  -0.480E-02   20.00  0.8833E-03  0.1060E+00
  46  -135.0000    -105.419 0.3281   0.4471E+01  0.4904E-03 -0.2191E+00  0.0000E+00      -1  -0.504E-02   20.00  0.8833E-03  0.1060E+00
  47  -138.0000    -102.566 0.3295   0.4660E+01  0.4924E-03 -0.2291E+00  0.0000E+00      -1  -0.527E-02   20.00  0.8833E-03  0.1060E+00
  48  -141.0000     -99.714 0.3309   0.4848E+01  0.4944E-03 -0.2386E+00  0.0000E+00      -1  -0.549E-02   20.00  0.8833E-03  0.1060E+00
  49  -144.0000     -96.861 0.3323   0.5037E+01  0.4965E-03 -0.2478E+00  0.0000E+00      -1  -0.570E-02   20.00  0.8833E-03  0.1060E+00
  50  -147.0000     -94.008 0.3337   0.5274E+01  0.4975E-03 -0.2566E+00  0.0000E+00      -1  -0.590E-02   20.00  0.8833E-03  0.1060E+00
  51  -150.0000     -91.153 0.3351   0.5565E+01  0.4973E-03 -0.2650E+00  0.0000E+00      -1  -0.610E-02   20.00  0.8833E-03  0.1060E+00
  52  -153.0000     -88.294 0.3365   0.5856E+01  0.4972E-03 -0.2731E+00  0.0000E+00      -1  -0.628E-02   20.00  0.8833E-03  0.1060E+00
  53  -156.0000     -85.433 0.3379   0.6147E+01  0.4971E-03 -0.2808E+00  0.0000E+00      -1  -0.646E-02   20.00  0.8833E-03  0.1060E+00
  54  -159.0000     -82.568 0.3394   0.6438E+01  0.4969E-03 -0.2881E+00  0.0000E+00      -1  -0.663E-02   20.00  0.8833E-03  0.1060E+00
  55  -162.0000     -79.701 0.3408   0.6730E+01  0.4968E-03 -0.2950E+00  0.0000E+00      -1  -0.679E-02   20.00  0.8833E-03  0.1060E+00
  56  -165.0000     -76.831 0.3422   0.7022E+01  0.4967E-03 -0.3016E+00  0.0000E+00      -1  -0.694E-02   20.00  0.8833E-03  0.1060E+00
  57  -168.0000     -73.958 0.3437   0.7388E+01  0.4949E-03 -0.3078E+00  0.0000E+00      -1  -0.708E-02   20.00  0.8833E-03  0.1060E+00
  58  -171.0000     -71.081 0.3451   0.7811E+01  0.4919E-03 -0.3136E+00  0.0000E+00      -1  -0.721E-02   20.00  0.8833E-03  0.1060E+00
  59  -174.0000     -68.199 0.3465   0.8234E+01  0.4888E-03 -0.3191E+00  0.0000E+00      -1  -0.734E-02   20.00  0.8833E-03  0.1060E+00
