 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:   3. 3.2022    Time:  23: 2:36
 Units: L = cm   , T = days , M = mg   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

  82  -243.0000      28.907 0.3713   0.4346E+02  0.0000E+00 -0.5868E+00  0.0000E+00      -1  -0.135E-01   20.00  0.2528E-02  0.1011E+00
  83  -246.0000      31.866 0.3713   0.4346E+02  0.0000E+00 -0.5867E+00  0.0000E+00      -1  -0.135E-01   20.00  0.2528E-02  0.1011E+00
  84  -249.0000      34.826 0.3713   0.4346E+02  0.0000E+00 -0.5795E+00  0.0000E+00      -1  -0.133E-01   20.00  0.2528E-02  0.1011E+00
  85  -252.0000      37.786 0.3713   0.4346E+02  0.0000E+00 -0.5795E+00  0.0000E+00      -1  -0.133E-01   20.00  0.2528E-02  0.1011E+00
  86  -255.0000      40.746 0.3713   0.4346E+02  0.0000E+00 -0.5795E+00  0.0000E+00      -1  -0.133E-01   20.00  0.2528E-02  0.1011E+00
  87  -258.0000      43.706 0.3713   0.4346E+02  0.0000E+00 -0.5795E+00  0.0000E+00      -1  -0.133E-01   20.00  0.2528E-02  0.1011E+00
  88  -261.0000      46.666 0.3713   0.4346E+02  0.0000E+00 -0.5795E+00  0.0000E+00      -1  -0.133E-01   20.00  0.2528E-02  0.1011E+00
  89  -264.0000      49.626 0.3713   0.4346E+02  0.0000E+00 -0.5795E+00  0.0000E+00      -1  -0.133E-01   20.00  0.2528E-02  0.1011E+00
  90  -267.0000      52.586 0.3713   0.4346E+02  0.0000E+00 -0.5795E+00  0.0000E+00      -1  -0.133E-01   20.00  0.2528E-02  0.1011E+00
  91  -270.0000      55.546 0.3713   0.4346E+02  0.0000E+00 -0.5867E+00  0.0000E+00      -1  -0.135E-01   20.00  0.2528E-02  0.1011E+00
  92  -273.0000      58.505 0.3713   0.4346E+02  0.0000E+00 -0.5868E+00  0.0000E+00      -1  -0.135E-01   20.00  0.2528E-02  0.1011E+00
  93  -276.0000      61.465 0.3713   0.4346E+02  0.0000E+00 -0.5795E+00  0.0000E+00      -1  -0.133E-01   20.00  0.2528E-02  0.1011E+00
  94  -279.0000      64.425 0.3713   0.4346E+02  0.0000E+00 -0.5795E+00  0.0000E+00      -1  -0.133E-01   20.00  0.2527E-02  0.1011E+00
  95  -282.0000      67.385 0.3713   0.4346E+02  0.0000E+00 -0.5795E+00  0.0000E+00      -1  -0.133E-01   20.00  0.2525E-02  0.1010E+00
  96  -285.0000      70.345 0.3713   0.4346E+02  0.0000E+00 -0.5795E+00  0.0000E+00      -1  -0.133E-01   20.00  0.2525E-02  0.1010E+00
  97  -288.0000      73.305 0.3713   0.4346E+02  0.0000E+00 -0.5795E+00  0.0000E+00      -1  -0.133E-01   20.00  0.2525E-02  0.1010E+00
  98  -291.0000      76.265 0.3713   0.4346E+02  0.0000E+00 -0.5795E+00  0.0000E+00      -1  -0.133E-01   20.00  0.2523E-02  0.1009E+00
  99  -294.0000      79.225 0.3713   0.4346E+02  0.0000E+00 -0.5795E+00  0.0000E+00      -1  -0.133E-01   20.00  0.2518E-02  0.1008E+00
 100  -297.0000      82.185 0.3713   0.4346E+02  0.0000E+00 -0.5868E+00  0.0000E+00      -1  -0.135E-01   20.00  0.2502E-02  0.1001E+00
 101  -300.0000      85.144 0.3713   0.4346E+02  0.0000E+00 -0.5940E+00  0.0000E+00      -1  -0.137E-01   20.00  0.2502E-02  0.9922E-01
end


 Time:        1.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -183.959 0.2928   0.1516E+01  0.4016E-03  0.1088E-01  0.0000E+00      -1   0.250E-03   20.00  0.2714E-02  0.1084E+00
