Prec,pET,hCritA,LAI,GWL,cTop,croot
3.05,0.453669573,100000,2.789521546,50.7498316,0,0.001
0.35,0.194353848,100000,2.712828505,49.0384951,0,0.001
0,0.244550569,100000,2.625922358,48.3543628,0,0.001
0,0.308830222,100000,2.535084641,48.9106873,0,0.001
0,0.287523863,100000,2.416386319,50.920721,0,0.001
0.02,0.269684363,100000,2.263743566,54.5977164,0,0.001
0,0.179107746,100000,2.104982472,60.1549261,0,0.001
1.98,0.332094393,100000,1.978694254,67.7229796,0,0.001
0.01,0.171518913,100000,1.88771463,77.1020146,0,0.001
0,0.326057526,100000,1.805207735,88.0095456,0,0.001
0,0.357528449,100000,1.779576895,100.1630873,0,0.001
0,0.297931282,100000,1.663815489,113.2801544,0,0.001
0.07,0.209224742,100000,1.575634429,127.0782614,0,0.001
0,0.21602426,100000,1.495630668,141.2749231,0,0.001
0,0.18426396,100000,1.386641382,155.587654,0,0.001
0,0.306355607,100000,1.249410792,169.7339688,0,0.001
0,0.26648728,100000,1.129126206,183.4313822,0,0.001
0,0.292622203,100000,1.109160738,196.3974087,0,0.001
0,0.274161529,100000,1.034820785,208.349563,0,0.001
0.15,0.257671401,100000,0.959123443,219.0053598,0,0.001
0,0.153551118,100000,0.890214304,228.0823137,0,0.001
0,0.258516241,100000,0.814527188,235.2979393,0,0.001
0.26,0.276656857,100000,0.799498187,240.4521052,0,0.001
1.42,0.234419479,100000,0.72602555,243.6740958,0,0.001
0.4,0.129541055,100000,0.65775841,245.1755495,0,0.001
0,0.127020032,100000,0.645413344,245.1681045,0,0.001
0,0.170240581,100000,0.565002515,243.8633992,0,0.001
0,0.172245901,100000,0.555031643,241.473072,0,0.001
0,0.127173572,100000,0.544523412,238.2087611,0,0.001
0,0.211680742,100000,0.474718563,234.2821049,0,0.001
0,0.221120716,100000,0.464486432,229.9047417,0,0.001
0,0.230514813,100000,0.387411541,225.2883099,0,0.001
0.03,0.194173201,100000,0.377331428,220.6444478,0,0.001
0,0.11457813,100000,0.308630943,216.1847938,0,0.001
0,0.134094208,100000,0.299677539,212.1209861,0,0.001
0.35,0.166439982,100000,0.250965452,208.6646631,0,0.001
0.27,0.097863951,100000,0.244538033,206.0274631,0,0.001
0,0.100421736,100000,0.238733277,204.369991,0,0.001
