 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  29. 3.2022    Time:  17:27:39
 Units: L = cm   , T = days , M = mg   


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

  70  -207.0000     -35.920 0.3613   0.1511E+02  0.4092E-03 -0.4231E+00  0.0000E+00      -1  -0.973E-02   20.00  0.8833E-03  0.1060E+00
  71  -210.0000     -33.001 0.3625   0.1607E+02  0.3951E-03 -0.4146E+00  0.0000E+00      -1  -0.954E-02   20.00  0.8833E-03  0.1060E+00
  72  -213.0000     -30.075 0.3637   0.1704E+02  0.3809E-03 -0.4098E+00  0.0000E+00      -1  -0.943E-02   20.00  0.8833E-03  0.1060E+00
  73  -216.0000     -27.145 0.3647   0.1821E+02  0.3632E-03 -0.4062E+00  0.0000E+00      -1  -0.935E-02   20.00  0.8833E-03  0.1060E+00
  74  -219.0000     -24.209 0.3658   0.1940E+02  0.3451E-03 -0.3982E+00  0.0000E+00      -1  -0.916E-02   20.00  0.8833E-03  0.1060E+00
  75  -222.0000     -21.268 0.3668   0.2079E+02  0.3238E-03 -0.3949E+00  0.0000E+00      -1  -0.909E-02   20.00  0.8833E-03  0.1060E+00
  76  -225.0000     -18.323 0.3677   0.2226E+02  0.3012E-03 -0.3938E+00  0.0000E+00      -1  -0.906E-02   20.00  0.8833E-03  0.1060E+00
  77  -228.0000     -15.374 0.3686   0.2396E+02  0.2752E-03 -0.3875E+00  0.0000E+00      -1  -0.892E-02   20.00  0.8833E-03  0.1060E+00
  78  -231.0000     -12.420 0.3693   0.2589E+02  0.2458E-03 -0.3846E+00  0.0000E+00      -1  -0.885E-02   20.00  0.8833E-03  0.1060E+00
  79  -234.0000      -9.463 0.3700   0.2811E+02  0.2123E-03 -0.3850E+00  0.0000E+00      -1  -0.886E-02   20.00  0.8833E-03  0.1060E+00
