 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  21. 2.2022    Time:  16:12:12
 Units: L = cm   , T = days , M = mmol 


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

  89  -264.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  90  -267.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  91  -270.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  92  -273.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  93  -276.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  94  -279.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  95  -282.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  96  -285.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  97  -288.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  98  -291.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
  99  -294.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
 100  -297.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
 101  -300.0000       0.000 0.3713   0.4346E+02  0.0000E+00 -0.4346E+02  0.0000E+00      -1  -0.100E+01   20.00  0.4089E-07  0.1237E-02
end


 Time:        1.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -165.852 0.3003   0.1919E+01  0.4252E-03  0.1158E+00  0.8919E-04      -1   0.266E-02   20.00  0.4089E-07  0.1237E-02
