Fast first order indexes
                    	                ZRTC	                ZSTC	                ZLFC	                ZERC	                ZART	                ZAST	                ZALF	                ZAER	               TZDMI	               TZDMX	                SUMZ	              SUMTZA	
             MIZERT2	            0.426586	            0.295293	            0.875847	            0.098867	            0.426586	            0.295293	            0.875847	            0.098867	                   0	            0.453184	            0.015973	            0.474354	
             MIZERT3	            0.405575	            0.090042	            0.531519	            0.235233	            0.405575	            0.090042	            0.531519	            0.235233	                   0	            0.522356	            0.015955	            0.320813	
             MIZERT4	            0.848593	            0.121278	            0.780055	            0.183566	            0.848593	            0.121278	            0.780055	            0.183566	            0.890411	            0.519993	            0.015949	            0.492178	
             MIZERT5	            0.600473	            0.238729	            0.567808	            0.413603	            0.600473	            0.238729	            0.567808	            0.413603	                   0	            0.389825	            0.015972	            0.355254	
             MIZERT6	            0.410551	            0.228257	            0.662851	            0.476896	            0.410551	            0.228257	            0.662851	            0.476896	                   0	            0.378565	            0.015993	            0.420060	
             MXZRTT1	            0.535804	            0.150143	            0.837653	            0.202931	            0.535804	            0.150143	            0.837653	            0.202931	                   0	            0.440659	            0.015954	            0.265888	
             MXZRTT2	            0.402517	            0.069772	            0.634893	            0.120129	            0.402517	            0.069772	            0.634893	            0.120129	                   0	            0.607887	            0.015977	            0.165101	
             MXZRTT3	            0.152282	            0.144471	            0.612292	            0.054310	            0.152282	            0.144471	            0.612292	            0.054310	            0.890411	            0.672513	            0.015952	            0.130250	
             MXZRTT4	            0.312392	            0.332951	            0.823817	            0.134509	            0.312392	            0.332951	            0.823817	            0.134509	                   0	            0.434099	            0.015958	            0.389839	
             MXZRTT5	            0.611559	            0.109531	            0.700583	            0.096959	            0.611559	            0.109531	            0.700583	            0.096959	                   0	            0.573046	            0.015985	            0.106095	
             MXZRTT6	            0.706535	            0.252457	            0.767343	            0.076766	            0.706535	            0.252457	            0.767343	            0.076766	                   0	            0.536562	            0.015949	            0.437882	
             MXZSTT1	            0.663114	            0.281632	            0.469497	            0.052695	            0.663114	            0.281632	            0.469497	            0.052695	            0.890411	            0.501022	            0.015952	            0.253888	
             MXZSTT2	            0.299061	            0.063898	            0.677392	            0.045072	            0.299061	            0.063898	            0.677392	            0.045072	                   0	            0.796912	            0.016000	            0.052743	
             MXZSTT3	            0.287719	            0.245987	            0.515020	            0.052531	            0.287719	            0.245987	            0.515020	            0.052531	                   0	            0.492645	            0.015962	            0.302348	
             MXZSTT4	            0.602228	            0.120010	            0.607911	            0.276303	            0.602228	            0.120010	            0.607911	            0.276303	                   0	            0.433457	            0.015985	            0.256592	
